Incident_Station_Area,Average_Response_Delay
111,78.2258064516129
112,66.05128205128206
113,98.6025641025641
114,67.318
115,85.87058823529412
116,75.79553903345725
121,107.60335195530726
122,137.51592356687897
123,88.60096153846153
125,-218.0142857142857
131,108.7515923566879
132,68.58105263157894
133,67.65967365967366
134,56.885416666666664
135,113.60989010989012
141,-32.12717770034843
142,22.974612129760224
143,22.197080291970803
144,41.046875
145,44.57402597402597
146,41.682724252491695
211,124.77049180327869
212,94.62264150943396
213,69.0625
214,85.0954356846473
215,108.07185628742515
221,45.71851851851852
222,73.76719576719577
223,132.3324250681199
224,66.37579617834395
225,63.36363636363637
226,31.28205128205128
227,111.96678966789668
231,48.0059405940594
232,44.12068965517241
233,80.29020979020979
234,110.02660753880266
235,135.75539568345323
241,41.45061728395062
242,102.39285714285714
243,48.91818181818182
244,49.433766233766235
245,143.929012345679
311,56.7027027027027
312,54.76905311778291
313,45.0064397424103
314,71.59240246406571
315,84.33904109589041
321,69.12637362637362
322,57.622727272727275
323,54.75961538461539
324,99.04778156996586
325,78.02675585284281
326,218.61267605633802
331,21.221818181818183
332,30.20149253731343
333,17.910094637223974
334,55.66597077244259
335,-458.19565217391306
341,53.590123456790124
342,89.81048387096774
343,22.4275092936803
344,-38.689320388349515
345,86.41391304347826
346,13.712820512820512
411,71.92429022082018
412,75.37121212121212
413,18.209591474245116
415,50.45
421,43.01766004415011
422,72.07094594594595
423,70.15563506261181
425,82.03448275862068
426,-1.7513397642015005
431,59.110169491525426
432,83.8476821192053
433,-5.667338709677419
434,107.35526315789474
435,118.39782016348774
441,-0.615071283095723
442,52.524046434494196
443,12.265243902439025
444,154.97457627118644
445,28.847826086956523
